epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,11897.9,0.5845,3.38058,1.27704,0.72727,0.12096,0.1574,0.14694,0.49149,5.01377,0.82896,4.9913e-05,4.9913e-05,4.9913e-05
17,12621.5,0.59453,3.2455,1.24452,0.76956,0.13142,0.18446,0.17371,0.47113,5.18501,0.81986,4.85072e-05,4.85072e-05,4.85072e-05
18,13361.3,0.58383,3.17389,1.25869,0.71049,0.1553,0.19796,0.19069,0.43932,5.01873,0.80554,4.71014e-05,4.71014e-05,4.71014e-05
19,14094.4,0.53708,3.14248,1.21371,0.79373,0.14615,0.20602,0.20066,0.41779,4.68709,0.79351,4.56956e-05,4.56956e-05,4.56956e-05
20,14826,0.54449,3.03844,1.22286,0.83194,0.15159,0.2185,0.21137,0.41448,4.64637,0.80224,4.42898e-05,4.42898e-05,4.42898e-05
21,15552,0.56858,3.01936,1.21895,0.71353,0.17094,0.21475,0.20946,0.41049,4.75829,0.7886,4.2884e-05,4.2884e-05,4.2884e-05
22,16279.1,0.53538,2.78781,1.18898,0.64863,0.19375,0.21696,0.21084,0.40085,4.70132,0.77293,4.14782e-05,4.14782e-05,4.14782e-05
23,17000.2,0.54557,2.83571,1.22587,0.63062,0.21801,0.23905,0.23244,0.39036,4.54659,0.76248,4.00724e-05,4.00724e-05,4.00724e-05
24,17736.7,0.53425,2.7891,1.1917,0.74733,0.19103,0.23727,0.23171,0.386,4.51294,0.75194,3.86666e-05,3.86666e-05,3.86666e-05
25,18477,0.56066,2.72693,1.24632,0.80003,0.18185,0.26866,0.25722,0.38147,4.44234,0.75017,3.72608e-05,3.72608e-05,3.72608e-05
26,19208.8,0.51261,2.6528,1.18337,0.49195,0.2986,0.27369,0.26129,0.37043,4.46122,0.74065,3.5855e-05,3.5855e-05,3.5855e-05
27,19933.3,0.46275,2.61192,1.1347,0.47391,0.31681,0.27557,0.2625,0.37698,4.47613,0.74833,3.44492e-05,3.44492e-05,3.44492e-05
28,20673.6,0.49587,2.61309,1.18061,0.51985,0.31586,0.2932,0.28181,0.37781,4.4421,0.74606,3.30434e-05,3.30434e-05,3.30434e-05
29,21411.7,0.46825,2.45133,1.12846,0.57017,0.30582,0.30563,0.29693,0.37386,4.33843,0.73673,3.16376e-05,3.16376e-05,3.16376e-05
30,22152.1,0.52011,2.60638,1.18682,0.64218,0.29506,0.32265,0.31542,0.38033,4.27758,0.73471,3.02318e-05,3.02318e-05,3.02318e-05
31,22880.1,0.4651,2.45085,1.14225,0.6866,0.29993,0.32924,0.32414,0.35307,4.18314,0.71098,2.8826e-05,2.8826e-05,2.8826e-05
32,23605.5,0.49425,2.41367,1.19703,0.66498,0.31357,0.33972,0.33305,0.3435,4.17812,0.70625,2.74202e-05,2.74202e-05,2.74202e-05
33,24332.3,0.50846,2.47366,1.15998,0.69537,0.31489,0.3578,0.34837,0.35492,4.17429,0.71298,2.60144e-05,2.60144e-05,2.60144e-05
34,25065.4,0.53703,2.43255,1.18626,0.63501,0.33619,0.36786,0.35741,0.36844,4.15493,0.72636,2.46086e-05,2.46086e-05,2.46086e-05
35,25792.7,0.48402,2.38433,1.15889,0.64316,0.32895,0.38354,0.37428,0.35643,4.1736,0.70693,2.32028e-05,2.32028e-05,2.32028e-05
36,26542.9,0.44696,2.38856,1.14354,0.66852,0.30598,0.39039,0.38174,0.35079,4.14268,0.70348,2.1797e-05,2.1797e-05,2.1797e-05
37,27276.2,0.492,2.18917,1.15118,0.64267,0.33557,0.38814,0.38075,0.34193,4.12735,0.69906,2.03912e-05,2.03912e-05,2.03912e-05
38,28022,0.49839,2.24738,1.17622,0.68936,0.33884,0.39686,0.39031,0.34341,4.14651,0.69768,1.89854e-05,1.89854e-05,1.89854e-05
39,28766.1,0.45059,2.12925,1.12353,0.71082,0.34158,0.40069,0.39484,0.35261,4.09489,0.70252,1.75796e-05,1.75796e-05,1.75796e-05
40,29501.4,0.49412,2.35623,1.18653,0.69994,0.34826,0.40516,0.3987,0.35669,4.09815,0.70642,1.61738e-05,1.61738e-05,1.61738e-05
41,30235.1,0.39288,2.65391,1.10954,0.69726,0.3419,0.39626,0.38878,0.37292,4.28549,0.72795,1.4768e-05,1.4768e-05,1.4768e-05
42,30976.8,0.29345,2.44694,1.0363,0.69979,0.34236,0.39069,0.38261,0.36226,4.30717,0.72576,1.33622e-05,1.33622e-05,1.33622e-05
43,31720.6,0.3008,2.49696,1.04976,0.70565,0.33949,0.39421,0.38546,0.35774,4.26918,0.7271,1.19564e-05,1.19564e-05,1.19564e-05
44,32464.5,0.25464,2.41248,0.99212,0.70607,0.34253,0.39813,0.39074,0.34834,4.29444,0.71836,1.05506e-05,1.05506e-05,1.05506e-05
45,33197.7,0.24849,2.33207,1.00022,0.81363,0.30789,0.40529,0.39787,0.33949,4.31606,0.70544,9.1448e-06,9.1448e-06,9.1448e-06
46,33938.4,0.26092,2.38534,1.0036,0.69844,0.33319,0.40719,0.39968,0.3382,4.30097,0.69704,7.739e-06,7.739e-06,7.739e-06
47,34672.2,0.23604,2.3109,0.96441,0.70752,0.32755,0.40582,0.39764,0.34754,4.29929,0.70028,6.3332e-06,6.3332e-06,6.3332e-06
48,35410.5,0.25827,2.32672,0.9957,0.69429,0.3473,0.41505,0.40711,0.34668,4.30307,0.6985,4.9274e-06,4.9274e-06,4.9274e-06
49,36148.8,0.23297,2.22123,0.95618,0.70374,0.34764,0.40551,0.39846,0.33473,4.27843,0.68266,3.5216e-06,3.5216e-06,3.5216e-06
50,36897.2,0.24679,2.2744,0.98566,0.70515,0.34747,0.40109,0.39434,0.33571,4.27972,0.68029,2.1158e-06,2.1158e-06,2.1158e-06
